age,month,mean,sd
2,5,16.62727,2.967040957
2,6,16.62727,2.967040957
2,7,16.62727,2.967040957
2,8,16.62727,2.967040957
2,9,16.62727,2.967040957
2,10,16.62727,2.967040957
2,11,16.62727,2.967040957
2,12,16.62727,2.967040957
3,1,16.62727,2.967040957
3,2,16.62727,2.967040957
3,3,16.62727,2.967040957
3,4,17.91102,2.967040957
3,5,19.19477,2.967040957
3,6,20.47851708,2.967040957
3,7,21.74547955,2.954328022
3,8,22.13828483,2.49031684
3,9,23.94814726,1.704638249
3,10,25.61351083,2.022649216
3,11,26.33197842,2.079385207
3,12,27.05044602,2.136121198
4,1,27.76891361,2.192857189
4,2,28.48738121,2.249593179
4,3,29.2058488,1.945944434
4,4,29.9154909,2.267445522
4,5,30.20351964,2.406298862
4,6,30.07896232,2.79016407
4,7,30.37178342,2.499916022
4,8,30.34863544,2.379108961
4,9,30.46978278,2.139373591
4,10,31.29545266,2.415470457
4,11,31.86856662,2.459704994
4,12,32.44168059,2.50393953
5,1,33.01479455,2.548174067
5,2,33.58790852,2.592408604
5,3,34.16102248,1.304302578
5,4,35.48294336,2.617506051
5,5,35.32767812,2.787818403
5,6,36.40667804,3.052431481
5,7,35.97735299,3.303208213
5,8,34.16299849,3.092538767
5,9,34.91436318,1.668602105
5,10,34.91436318,1.668602105
5,11,34.91436318,1.668602105
5,12,34.91436318,1.668602105
6,1,34.91436318,1.668602105
6,2,34.91436318,1.668602105
6,3,34.91436318,1.668602105
6,4,34.91436318,1.668602105
6,5,34.91436318,1.668602105
6,6,34.91436318,1.668602105
6,7,34.91436318,1.668602105
6,8,34.91436318,1.668602105